id;timestamp;principal;resource_id;action;old_value;new_value;client_ip;is_success;created_by;created_date;last_modified_by;last_modified_date
1;2026-06-08T07:54:38;hormis;protéger à la merci;tellement;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;au point que;false;dring hors de façon à ce que;2026-06-08T04:11:38;hé ensuite;2026-06-07T19:47:32
2;2026-06-07T23:19:10;brusque brusque;commettre cuicui;membre du personnel en dépit de comme;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;proche de céans grrr;false;conseil municipal là-haut;2026-06-08T10:01:38;quand membre de l’équipe;2026-06-08T03:10:48
3;2026-06-08T10:09:25;si bien que;horrible cadre au-delà;sédentaire au-dessus de gigantesque;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;coupable;true;infime fourbe;2026-06-08T09:20:12;puisque tolérer;2026-06-08T07:21:37
4;2026-06-07T21:21:31;sale;au-dessus penser;actionnaire rectorat triste;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;proche de boum;false;si responsable toujours;2026-06-08T09:05:33;splendide dès alors que;2026-06-07T16:11:41
5;2026-06-07T17:40:12;quand hystérique vis-à-vie de;diablement sauf à gratis;membre à vie soudain rose;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;à l'instar de;true;ci à l'entour de;2026-06-07T21:14:56;d'entre;2026-06-07T11:55:24
6;2026-06-08T00:19:48;subsister magenta boum;hier;bondir jadis;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;splendide chut;false;demain ci prout;2026-06-08T05:57:22;concernant tuer vroum;2026-06-07T21:24:06
7;2026-06-07T22:19:53;clientèle guide;assez hystérique;foncer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;violer serrer;false;vouh présidence blême;2026-06-07T16:39:04;guide main-d’œuvre concurrence;2026-06-08T09:13:01
8;2026-06-08T03:53:55;alors que;multiple;puisque moyennant aussitôt que;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;terriblement membre de l’équipe vroum;false;ailleurs main-d’œuvre absorber;2026-06-07T12:10:54;à partir de au lieu de;2026-06-07T21:10:38
9;2026-06-08T04:15:27;après que amorphe;secouriste immense mairie;comme;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;d’autant que;true;solitaire doucement;2026-06-07T16:13:41;sourire;2026-06-07T17:14:05
10;2026-06-07T10:37:41;quasi assimiler;signaler;magnifique derrière;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;police;true;smack;2026-06-07T14:32:25;du fait que si bien que;2026-06-08T04:16:09
