id;guardian_type;created_by;created_date;last_modified_by;last_modified_date
1;ferme;également;2026-06-08T01:21:00;menacer pschitt quand;2026-06-07T17:30:47
2;quasiment;afin que caractériser coin-coin;2026-06-07T23:21:12;membre à vie bè;2026-06-07T20:04:57
3;hors de mature;électorat;2026-06-07T18:10:51;quitte à sans que auprès de;2026-06-08T09:25:36
4;miam peser du moment que;demander;2026-06-08T00:37:07;battre;2026-06-08T00:10:22
5;partenaire;initier de par boum;2026-06-07T23:57:23;agréable;2026-06-08T09:31:20
6;dans de;changer au dépens de hystérique;2026-06-07T16:24:53;simple conseil d’administration;2026-06-08T01:58:34
7;de sorte que y pschitt;briser patientèle orange;2026-06-07T23:03:05;personnel professionnel diplomate glouglou;2026-06-08T07:19:04
8;zzzz précisément même si;analyser secouriste quoique;2026-06-07T13:41:50;jusqu’à ce que;2026-06-08T09:17:28
9;gai;tellement;2026-06-08T08:22:05;étant donné que;2026-06-08T06:35:35
10;coupable au-dedans de splendide;du fait que ailleurs;2026-06-07T21:21:41;arrière;2026-06-08T04:17:37
